Date,Misc,CERN,"NCSA
https://en.wikipedia.org/wiki/Mosaic_(web_browser)","Netscape
https://en.wikipedia.org/wiki/Netscape_(web_browser)#Release_history",Mozilla,"Firefox
https://en.wikipedia.org/wiki/Firefox_early_version_history
https://en.wikipedia.org/wiki/Firefox_version_history","SeaMonkey
https://en.wikipedia.org/wiki/History_of_Mozilla_Application_Suite
https://en.wikipedia.org/wiki/SeaMonkey",Waterfox,"Pale Moon
https://www.palemoon.org/releasenotes-archived.shtml",Flock,Other Gecko-based,"Microsoft
https://en.wikipedia.org/wiki/Internet_Explorer_version_history
https://en.wikipedia.org/wiki/Microsoft_Edge","MacIE
https://en.wikipedia.org/wiki/Internet_Explorer_for_Mac",IEコンポーネントブラウザ,Flash、Web技術,"Opera
https://en.wikipedia.org/wiki/History_of_the_Opera_web_browser","Vivaldi
https://en.wikipedia.org/wiki/Vivaldi_(web_browser)","Konqueror
https://timeline.kde.org/","Apple
https://en.wikipedia.org/wiki/Safari_version_history","Google
https://support.google.com/chrome/a/answer/10314655?hl=ja
https://google.fandom.com/wiki/Chrome_version_history","Brave
https://en.wikipedia.org/wiki/Brave_(web_browser)#History"
2004-01-30,,,,,,,,,,,,,,"Avant Browserリリース
https://en.wikipedia.org/wiki/Avant_Browser",,,,,,,
2004-02-02,,,,,,,,,,,,,,,,,,,"Safari 1.2
XMLHttpRequest",,
2004-02-09,,,,,,"Firefox 0.8
名称変更
Gecko 1.6ベース",,,,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,,,,,"Gmailサービス開始
Web 2.0時代の幕開け",
2004-04-15,,,,,,,,,,,,,,"Sleipbir 1.00リリース
https://dic.nicovideo.jp/a/sleipnir",,,,,,,
2004-06-04,,,,,,,,,,,,,,,"WHATWG設立
ブラウザーベンダーの立場から仕様の標準化を行うように",,,,,,
2004-06-17,,,,,,,"Mozilla 1.7
ダウンロードマネージャ（1.1）
インクリメンタル検索（1.2）
リンク先読み（1.2）
NTLM認証（1.4）
スペルチェッカー（1.4）
CSS3 Opacity",,,,,,,,,,,,,,
2004-07-19,,,,,Mozilla Japan設立,,,,,,,,,,,,,,,,
2004-08-25,,,,,,,,,,,,"Internet Explorer 6.0SP2
ポップアップブロック
ダウンロードファイルの保護
アドオン管理機能",,,,,,,,,
2004-10-12,,,,,Netscape DevEdge閉鎖,,,,,,,,,,,,,,,,
2004-10-14,,,,,,,,,,,,,,,,,,,,Google Desktop 1.0,
2004-11-09,,,,,,"Firefox 1.0
Find Toolbar
Live Bookmark（RSSリーダー機能）",,,,,,,,,,,,,,,
2005-01-07,,,,,,,,,,,,,,"Lunascape 2.0
Gecko対応",,,,,,,
2005-02-08,,,,,,,,,,,,,,,,,,,,Google Mapsサービス開始,
2005-02-23,,,,,"DevMo
DevEdgeのコンテンツを引き継ぐ形でプロジェクト開始",,,,,,,,,,,,,,,,
2005-04-11,,,,,,,,,,"Flock Developer Preview
FirefoxベースのSNS特化ブラウザーとして公開",,,,,,,,,,,
2005-04-19,,,,,,,,,,,,,,,,"Opera 8
ユーザースクリプト
SVG 1.1 Tiny
XMLHttpRequest
完全無償化",,,,,
2005-04-29,,,,,,,,,,,,,,,,,,,"Safari 2.0
RSS/Atomリーダー
PDFビューワー
プライベートブラウジングモード
ペアレンタルコントロール
HTML canvas",,
2005-04-29,,,,,,,,,,,,,,,,,,,Mac OS X 10.4 Tiger,,
2005-05-19,,,,"Netscape 8
Firefox 1.0.3ベース",,,,,,,,,,,,,,,,,
2005-07-15,,,,,DevMo、Mozilla Developer Center（MCD）へ改称,,,,,,,,,,,,,,,,
2005-08-03,,,,,Mozilla Corporation設立,,,,,,,,,,,,,,,,
2005-09-02,,,,,,,,,,,,,,Lunascape 3.0.0,,,,,,,
2005-10-12,,,,,,,,,,,,,,"Sleipbir 2.00リリース
マウスジェスチャー",,,,,,,
2005-11-29,,,,,,"Firefox 1.5
Gecko 1.8ベース
HTML canvas
自動更新
JavaScript 1.5
SVG",,,,,,,,,,,,,,,
2005-12-03,,,,,,,,,,,,,,,Adobe、Macromediaを買収,,,,,,
2006-01-30,,,,,,,"SeaMonkey 1.0
SeaMonkey Councilに移管
Gecko 1.8ベース",,,,,,,,,,,,,,
2006-02-14,,,,,,,,,,,"Camino 1.0
Geckoベースの最初のユニバーサルバイナリ対応ブラウザー",,,,,,,,,,
2006-03-09,,,,,,,,,,,,,,,,,,,,Google Docs & Spreadsheetsサービス開始,
2006-04-05,,,,,,,,,,,,,,,,,,,,"Googleツールバー 2.0
Firefoxに機能を追加
フィッシング防止",
2006-06-15,,,,,,,,,,,"K-Meleon 1.0
Gecko 1.8.0.7ベース",,,,,,,,,,
2006-06-20,,,,,,,,,,,,,,,,"Opera 9
Acid2テストをパス
XSLT
SVG 1.1 Basic
BitTorrent
HTML canvas
フィッシング防止
ウィジェット",,,,,
2006-08-17,"iCab 3.0.3
Acid2テストをパス",,,,,,,,,,,,,,,,,,,,
2006-08-26,,,,,,,,,,,,,,,"jQuery 1.0
ブラウザー間の差異を吸収するJavaScriptライブラリー",,,,,,
2006-10-18,,,,,,,,,,,,"Internet Explorer 7
タブブラウズ
フィッシング防止
Web標準仕様への対応改善
EV SSL",,,,,,,,,
2006-10-24,,,,,,"Firefox 2.0
Gecko 1.8.1ベース
Google Safe Browsingベースのフィッシング対策
JavaScript 1.7
Sherlock/OpenSearch
セッション復元",,,,,,,,,,,,,,,
2006-11-21,,,,,,,,,,,,,,Lunascape 4.0.0,,,,,,,
